source,target
ElementaryLand,869314954195525643
ElementaryLand,737001031371718707
ElementaryLand,656900359368998963
ElementaryLand,301827829686075392
ElementaryLand,239507103369134080
ElementaryLand,422804804528504832
ElementaryLand,603878679373676546
ElementaryLand,725722132142620713
ElementaryLand,659449401617678338
ElementaryLand,682955125702262800
ElementaryLand,314418095466872833
ElementaryLand,793968424614887424
ElementaryLand,170180614316621833
ElementaryLand,558254207363317771
ElementaryLand,328603841090027524
ElementaryLand,736310414291501080
ElementaryLand,413392440582733835
ElementaryLand,204726356041269248
ElementaryLand,690290952295940267
ElementaryLand,465942317367296006
ElementaryLand,500134281272754187
ElementaryLand,673451151437594634
ElementaryLand,425361906476253185
ElementaryLand,540629925187813388
ElementaryLand,768904471719313448
ElementaryLand,717190118993035284
ElementaryLand,383668570170720256
ElementaryLand,290399813697142786
ElementaryLand,378916126475943937
ElementaryLand,231805341237510146
ElementaryLand,497810400704725002
ElementaryLand,355482067347308546
ElementaryLand,560380612893212673
ElementaryLand,280351703738482689
ElementaryLand,275335830908698635
ElementaryLand,508653558304866314
ElementaryLand,199253657739460608
ElementaryLand,735433115492941864
ElementaryLand,218794484115177472
ElementaryLand,440544292692426772
ElementaryLand,857266962965856286
ElementaryLand,277761863092011008
ElementaryLand,791997170571018260
ElementaryLand,406465771321950208
ElementaryLand,210439686622019584
ElementaryLand,694936881380458556
ElementaryLand,755960874656858195
ElementaryLand,799238716610707496
ElementaryLand,691303320081530880
ElementaryLand,571019754350051348
ElementaryLand,404206182820216832
ElementaryLand,435407577799589889
ElementaryLand,273787787126505474
ElementaryLand,638838584392286212
ElementaryLand,707351013484527637
ElementaryLand,771405770368483338
ElementaryLand,416246728157560842
ElementaryLand,444516768099336192
ElementaryLand,795687011893379172
ElementaryLand,693944065661599784
ElementaryLand,791768354477441045
ElementaryLand,607550518776037377
ElementaryLand,849752363966922762
ElementaryLand,456226577798135808
ElementaryLand,559308529932959744
ElementaryLand,418461054738235413
ElementaryLand,699600484289478677
ElementaryLand,729307531222057000
