source,target
LunariaSDL,693239217622482994
LunariaSDL,459060815417311252
LunariaSDL,563750385227923487
LunariaSDL,869314954195525643
LunariaSDL,239507103369134080
LunariaSDL,645045981238394902
LunariaSDL,777945255249051709
LunariaSDL,592671303962460170
LunariaSDL,690290952295940267
LunariaSDL,288103961913720835
LunariaSDL,785862415316549652
LunariaSDL,588075866211352671
LunariaSDL,693850997285453905
LunariaSDL,220816265734782976
LunariaSDL,772148309057339442
LunariaSDL,550951986271354893
LunariaSDL,485841996108398592
LunariaSDL,504650784236109834
LunariaSDL,374122280747401216
LunariaSDL,282540431504572416
LunariaSDL,850050194477023232
LunariaSDL,560380612893212673
LunariaSDL,435119464590213121
LunariaSDL,500846114904473605
LunariaSDL,787732956512256040
LunariaSDL,215924313490980866
LunariaSDL,148107262592811008
LunariaSDL,330300887828529152
LunariaSDL,658426180776493058
LunariaSDL,171434033719410690
LunariaSDL,365278591535284245
LunariaSDL,298507172017602570
LunariaSDL,494470475011850240
LunariaSDL,843079316732248086
LunariaSDL,323265719494246401
LunariaSDL,472843713232633878
LunariaSDL,274927611770306561
LunariaSDL,343791000097128451
LunariaSDL,717190118993035284
LunariaSDL,326409759148474379
LunariaSDL,384777258612555786
LunariaSDL,574581569512013891
LunariaSDL,282180183220420619
LunariaSDL,563069581787398147
LunariaSDL,740993934985003069
LunariaSDL,405776893283926017
LunariaSDL,269124005816958996
LunariaSDL,857266962965856286
LunariaSDL,422804804528504832
LunariaSDL,210439686622019584
LunariaSDL,414362472468709376
LunariaSDL,367117914102431754
LunariaSDL,759160381628874772
LunariaSDL,207570811987427328
LunariaSDL,781730649097895936
LunariaSDL,456226577798135808
LunariaSDL,422291874938748939
LunariaSDL,715481550304706592
LunariaSDL,535838934475866134
LunariaSDL,281636770817376256
LunariaSDL,769974928945840189
LunariaSDL,836158105598689280
LunariaSDL,836747489712930868
LunariaSDL,335497607759527938
LunariaSDL,759063198862671883
LunariaSDL,624879031904501760
LunariaSDL,326230471757398016
LunariaSDL,612980043982831646
LunariaSDL,458186727169720341
LunariaSDL,709060112228024381
LunariaSDL,673472447387009034
LunariaSDL,821748041257844818
LunariaSDL,492730197251063808
LunariaSDL,191932746929537024
LunariaSDL,848378037887434793
LunariaSDL,815630928859889694
LunariaSDL,224979752698511361
LunariaSDL,385761382093553665
LunariaSDL,660834116815552523
LunariaSDL,342689662407540746
LunariaSDL,421795166488100864
LunariaSDL,735136499519193158
LunariaSDL,764506839919624213
LunariaSDL,843930559234179092
LunariaSDL,440916667938373657
LunariaSDL,392173799157661696
LunariaSDL,609778062292287514
LunariaSDL,336560267263737870
LunariaSDL,598501034469490705
LunariaSDL,220548807992016896
LunariaSDL,571434754378039296
LunariaSDL,789407582153998336
LunariaSDL,501653052051423232
LunariaSDL,424861052484714507
LunariaSDL,361233958932840449
LunariaSDL,272809862591938570
LunariaSDL,771035730885607425
LunariaSDL,283249733433163778
LunariaSDL,662794331341586435
LunariaSDL,379276214550003724
LunariaSDL,319105903863267330
LunariaSDL,243018648011145224
LunariaSDL,741657702983401473
LunariaSDL,341743266556805122
LunariaSDL,243016919022698518
LunariaSDL,217439322050265088
LunariaSDL,390131751059587073
LunariaSDL,564464867940237313
LunariaSDL,449154282290413568
LunariaSDL,403772436455227402
LunariaSDL,404206182820216832
LunariaSDL,350246020568973323
LunariaSDL,814169257121153034
LunariaSDL,837753450057433139
LunariaSDL,757273203948126318
LunariaSDL,534502123531141124
LunariaSDL,729495159951327304
LunariaSDL,625047776606289926
LunariaSDL,735197238854418572
LunariaSDL,672052443013709826
LunariaSDL,277832382374084608
LunariaSDL,392676229653987332
LunariaSDL,802270330336182383
LunariaSDL,290195698509676546
LunariaSDL,741662193241555046
LunariaSDL,815632823121608784
LunariaSDL,318312854816161792
LunariaSDL,741661842618712134
LunariaSDL,741657259267981372
LunariaSDL,369620226813198337
LunariaSDL,792742068219805697
LunariaSDL,798653682568790046
LunariaSDL,309791789165051907
LunariaSDL,174622465429864448
LunariaSDL,293090899909541888
LunariaSDL,171310981455151105
LunariaSDL,689047771957035097
LunariaSDL,387487474051579905
LunariaSDL,778801954775105566
LunariaSDL,593137779802898432
LunariaSDL,363971718747783181
LunariaSDL,447084864429228033
LunariaSDL,807356869928288287
LunariaSDL,614490385724473360
LunariaSDL,224119107392372736
LunariaSDL,129582501394907136
LunariaSDL,729701079914250321
LunariaSDL,662044167500857353
LunariaSDL,828688589411581972
LunariaSDL,729367708109504577
LunariaSDL,695293080672403477
LunariaSDL,587674324496809996
LunariaSDL,814938720285097995
LunariaSDL,469590229070774273
LunariaSDL,626545617245831168
LunariaSDL,334019340322209792
LunariaSDL,789567203706929163
LunariaSDL,260064475715993602
LunariaSDL,817733173864562691
LunariaSDL,825709055086559242
LunariaSDL,414141853940842506
LunariaSDL,396919089647452160
LunariaSDL,345521899515674626
LunariaSDL,332960351601688616
LunariaSDL,520692995104964608
LunariaSDL,705963168975028285
LunariaSDL,681873785862750208
LunariaSDL,659758369976090635
LunariaSDL,352430066149490688
LunariaSDL,253592134211469322
LunariaSDL,197058979761881088
LunariaSDL,261113447524073474
LunariaSDL,402856950804774914
LunariaSDL,205549266217730049
LunariaSDL,282512501856272385
LunariaSDL,247412630279553025
LunariaSDL,217666303865913345
