source,target
AquaParc-Minecraft,869314954195525643
AquaParc-Minecraft,690290952295940267
AquaParc-Minecraft,441272827316928514
AquaParc-Minecraft,737001031371718707
AquaParc-Minecraft,810582991847948329
AquaParc-Minecraft,717003025788436530
AquaParc-Minecraft,653301133766295553
AquaParc-Minecraft,827925496184307722
AquaParc-Minecraft,724209320648245318
AquaParc-Minecraft,866752316500344832
AquaParc-Minecraft,843112541168205885
AquaParc-Minecraft,702147010957934603
AquaParc-Minecraft,197971897856688130
AquaParc-Minecraft,413392440582733835
AquaParc-Minecraft,807647232757202944
AquaParc-Minecraft,527214259050905600
AquaParc-Minecraft,740993934985003069
AquaParc-Minecraft,513087813420580876
AquaParc-Minecraft,722549593140887562
AquaParc-Minecraft,559460640343851031
AquaParc-Minecraft,856558563807592458
AquaParc-Minecraft,265397787548450816
AquaParc-Minecraft,368863600300916736
AquaParc-Minecraft,673991774410244097
AquaParc-Minecraft,333329781737127939
AquaParc-Minecraft,845958644340359178
AquaParc-Minecraft,706834153273950218
AquaParc-Minecraft,511534154312187934
AquaParc-Minecraft,498305123320201216
AquaParc-Minecraft,704704558424784966
AquaParc-Minecraft,424260052405452800
AquaParc-Minecraft,420330073661505538
AquaParc-Minecraft,283963646919573504
AquaParc-Minecraft,705091248091824148
AquaParc-Minecraft,299211177387360256
AquaParc-Minecraft,858282933458042880
AquaParc-Minecraft,518921209849708575
AquaParc-Minecraft,852242239777931315
AquaParc-Minecraft,857695385694502972
AquaParc-Minecraft,658722603770576910
AquaParc-Minecraft,857266962965856286
AquaParc-Minecraft,406465771321950208
AquaParc-Minecraft,210439686622019584
AquaParc-Minecraft,419216772441440257
AquaParc-Minecraft,769891227210088450
AquaParc-Minecraft,404206182820216832
AquaParc-Minecraft,784116761758531624
AquaParc-Minecraft,543815479651729419
AquaParc-Minecraft,192379167868846080
AquaParc-Minecraft,374843264299302922
AquaParc-Minecraft,771839270481559553
AquaParc-Minecraft,533497157983141916
AquaParc-Minecraft,829640128548700221
AquaParc-Minecraft,792742068219805697
AquaParc-Minecraft,203308581745852416
AquaParc-Minecraft,744233921306427512
AquaParc-Minecraft,300759443875037184
AquaParc-Minecraft,425602888501559298
AquaParc-Minecraft,775735270490243102
AquaParc-Minecraft,764529339730493481
AquaParc-Minecraft,766694493470588949
AquaParc-Minecraft,195458515421102080
AquaParc-Minecraft,427096416821837845
AquaParc-Minecraft,655467015489978369
AquaParc-Minecraft,783721489480417312
AquaParc-Minecraft,199104646579486720
AquaParc-Minecraft,836216837799804940
AquaParc-Minecraft,280782492095610900
AquaParc-Minecraft,442349948634136606
AquaParc-Minecraft,458186727169720341
AquaParc-Minecraft,563761590080503839
AquaParc-Minecraft,495611357241016330
AquaParc-Minecraft,295225847890051073
AquaParc-Minecraft,386810161500520449
AquaParc-Minecraft,576067777442480158
AquaParc-Minecraft,465845740661374976
AquaParc-Minecraft,378998346712481812
AquaParc-Minecraft,516599454237851668
AquaParc-Minecraft,825710888333213696
AquaParc-Minecraft,222051961820676096
AquaParc-Minecraft,439357155401924608
AquaParc-Minecraft,838463996629483521
AquaParc-Minecraft,846307681228292136
AquaParc-Minecraft,745569350043304028
AquaParc-Minecraft,712346203337261117
AquaParc-Minecraft,702921058629451879
AquaParc-Minecraft,837046170114326589
AquaParc-Minecraft,645582398825693194
AquaParc-Minecraft,838430431211946054
AquaParc-Minecraft,717338534880477207
AquaParc-Minecraft,546471003224801311
AquaParc-Minecraft,440454874686160898
AquaParc-Minecraft,844527978050617345
AquaParc-Minecraft,582992887864885249
AquaParc-Minecraft,532333922973908992
AquaParc-Minecraft,843786114510880780
AquaParc-Minecraft,834154285075005461
AquaParc-Minecraft,842742991775858721
AquaParc-Minecraft,668489907106349077
AquaParc-Minecraft,693459004927508520
AquaParc-Minecraft,266917209903726592
AquaParc-Minecraft,477382494862180352
AquaParc-Minecraft,575914481385865226
AquaParc-Minecraft,728724862817796176
AquaParc-Minecraft,424871730939691009
AquaParc-Minecraft,277832124512337920
AquaParc-Minecraft,787696204124651531
AquaParc-Minecraft,665529971971719169
AquaParc-Minecraft,728687549366927460
AquaParc-Minecraft,419183099230814239
AquaParc-Minecraft,544251759397306370
AquaParc-Minecraft,178896427332665344
AquaParc-Minecraft,588357112061624339
AquaParc-Minecraft,487279656140013571
AquaParc-Minecraft,692761041490149487
AquaParc-Minecraft,342774279605321729
AquaParc-Minecraft,806590748791144448
AquaParc-Minecraft,448526864680747009
AquaParc-Minecraft,637609186024226836
AquaParc-Minecraft,692043497758261329
AquaParc-Minecraft,662395292632481813
AquaParc-Minecraft,300589878972907520
AquaParc-Minecraft,325570244057890816
AquaParc-Minecraft,643728543779389450
AquaParc-Minecraft,672142390810902530
AquaParc-Minecraft,530442115772317726
AquaParc-Minecraft,838443530346954792
AquaParc-Minecraft,601671233452638208
AquaParc-Minecraft,775431126365765652
AquaParc-Minecraft,533014505752363009
AquaParc-Minecraft,702201095820410982
AquaParc-Minecraft,758733063340949544
