source,target
MagicCraft,265597114871054346
MagicCraft,673117343244877859
MagicCraft,640480044933709845
MagicCraft,867727819781701632
MagicCraft,869314954195525643
MagicCraft,722555455624446052
MagicCraft,814586338950119535
MagicCraft,579319084546523186
MagicCraft,432549113419268106
MagicCraft,665861246993694730
MagicCraft,524662537988603909
MagicCraft,198570675307282432
MagicCraft,822202214722437162
MagicCraft,868890277383929957
MagicCraft,866112944562765864
MagicCraft,792407929147097130
MagicCraft,793968424614887424
MagicCraft,446295471317843968
MagicCraft,269124005816958996
MagicCraft,868503932157186059
MagicCraft,737001031371718707
MagicCraft,679739202984083457
MagicCraft,460116411365195786
MagicCraft,701470129824989304
MagicCraft,433300186757070848
MagicCraft,737571223961206794
MagicCraft,610139372402245636
MagicCraft,453616701854973972
MagicCraft,453610722140880906
MagicCraft,258978288276340737
MagicCraft,776510437285167114
MagicCraft,545949482135584768
MagicCraft,857056468783202304
MagicCraft,693850997285453905
MagicCraft,699664501061976093
MagicCraft,259273135340257282
MagicCraft,397461339284701185
MagicCraft,866656110928199680
MagicCraft,616007420589899790
MagicCraft,286461303625613312
MagicCraft,791067475251822592
MagicCraft,507661928089387009
MagicCraft,865589016086183998
MagicCraft,183280912035741696
MagicCraft,301665980889694209
MagicCraft,566770253170868224
MagicCraft,324528338574114817
MagicCraft,346290547796869120
MagicCraft,221731280751034368
MagicCraft,253155647644762112
MagicCraft,264854739366313985
MagicCraft,594975522140717078
MagicCraft,296290957471645708
MagicCraft,249900091307982850
MagicCraft,325189835189125122
MagicCraft,457304285575905320
MagicCraft,406516796410036236
MagicCraft,702843958899900426
MagicCraft,864150510071316550
MagicCraft,221922325837250561
MagicCraft,594931366949421107
MagicCraft,693260235090952253
MagicCraft,204726356041269248
MagicCraft,690290952295940267
MagicCraft,683423892068630568
MagicCraft,576855010118205460
MagicCraft,560380612893212673
MagicCraft,307207938467037194
MagicCraft,778329956047781919
MagicCraft,413392440582733835
MagicCraft,549657302786113558
MagicCraft,323166429702651915
MagicCraft,863088194735177769
MagicCraft,705019077537693796
MagicCraft,656900359368998963
MagicCraft,414795315653115912
MagicCraft,860141501211344917
MagicCraft,862755048571011113
MagicCraft,422804804528504832
MagicCraft,715481550304706592
MagicCraft,314812085013970954
MagicCraft,526113302615556097
MagicCraft,519175990459498498
MagicCraft,740993934985003069
MagicCraft,585505936345399359
MagicCraft,313034287328788480
MagicCraft,847357609761570837
MagicCraft,862243888474488842
MagicCraft,723272978971885699
MagicCraft,642902035804454912
MagicCraft,468411202129756160
MagicCraft,188757468279603201
MagicCraft,705086210674262037
MagicCraft,581083496034861056
MagicCraft,372669755548631060
MagicCraft,861998827170562138
MagicCraft,210399597053345792
MagicCraft,452780100035936268
MagicCraft,844839943469531156
MagicCraft,861570879971917824
MagicCraft,861557557729951754
MagicCraft,797123981735100437
MagicCraft,400328320064946181
MagicCraft,842742514032836639
MagicCraft,326409759148474379
MagicCraft,860940008332853268
MagicCraft,860936823122296883
MagicCraft,308282160702291979
MagicCraft,258612392559116289
MagicCraft,534986330275577876
MagicCraft,793048558114701332
MagicCraft,323434368792133644
MagicCraft,540615694836826112
MagicCraft,285853607255998464
MagicCraft,859431598411743262
MagicCraft,617276804637523979
MagicCraft,660160114946211869
MagicCraft,794567345234378783
MagicCraft,792742068219805697
MagicCraft,859716136660238356
MagicCraft,556832624652451841
MagicCraft,859691763345391696
MagicCraft,673131768987254804
MagicCraft,492740119212851200
MagicCraft,859393288360034346
MagicCraft,858460331667357726
MagicCraft,587611861491646466
MagicCraft,859114435439886367
MagicCraft,553856931077423105
MagicCraft,859072098006073354
MagicCraft,454373931206443028
MagicCraft,456226577798135808
MagicCraft,771434522209550356
MagicCraft,618775838938103819
MagicCraft,688036623639904266
MagicCraft,636094768803479575
MagicCraft,227885526991110144
MagicCraft,655463736814993459
MagicCraft,523503873109786663
MagicCraft,313840848032759818
MagicCraft,857266962965856286
MagicCraft,725247384182849608
MagicCraft,315202023312326656
MagicCraft,797426949282332693
MagicCraft,719253821812899870
MagicCraft,623600698000408577
MagicCraft,856517118639210536
MagicCraft,180038842886127617
MagicCraft,301827829686075392
MagicCraft,630066287380267038
MagicCraft,647091085155368961
MagicCraft,449287559491878913
MagicCraft,691345454901755955
MagicCraft,451783146724392962
MagicCraft,830130910501666846
MagicCraft,605053292678217749
MagicCraft,689848814718550036
MagicCraft,435511429509152790
MagicCraft,764821196931858443
MagicCraft,491692233498689536
MagicCraft,855138554791329811
MagicCraft,731525958305316935
MagicCraft,702290996335214693
MagicCraft,525657555930972181
MagicCraft,727896705256915014
MagicCraft,854762124932022282
MagicCraft,854704787270270976
MagicCraft,452549959229898762
MagicCraft,705084529458544640
MagicCraft,548532000420528141
MagicCraft,805454259566018610
MagicCraft,587589262883684362
MagicCraft,804401999021211648
MagicCraft,801158000303276042
MagicCraft,854051258213335050
MagicCraft,411983408739123201
MagicCraft,853615753161211904
MagicCraft,288423852521029632
MagicCraft,647614024929902606
MagicCraft,694490500622712832
MagicCraft,693892261192269906
MagicCraft,322392071245791233
MagicCraft,852962917905334285
MagicCraft,174923687361773568
MagicCraft,751980410115981512
MagicCraft,795011593226158101
MagicCraft,823603945795485696
MagicCraft,719102220301500477
MagicCraft,852501527506845746
MagicCraft,852500463004811265
MagicCraft,852487586249572372
MagicCraft,845302270836867152
MagicCraft,847755627362254848
MagicCraft,852128235046830090
MagicCraft,493111448533205006
MagicCraft,238599801065832448
MagicCraft,318358580149616641
MagicCraft,654028697753354252
MagicCraft,851865899916722186
MagicCraft,851859359473336330
MagicCraft,655697889665875978
MagicCraft,363768614630981632
MagicCraft,320464852713734146
MagicCraft,374899843149201418
MagicCraft,795553064437940244
MagicCraft,682138562514386947
MagicCraft,850050194477023232
MagicCraft,790308507508277250
MagicCraft,660704001133903873
MagicCraft,794629909850619934
MagicCraft,779042340206674001
MagicCraft,817817254187892767
MagicCraft,287619045962940416
MagicCraft,484342613743370241
MagicCraft,844313160965423124
MagicCraft,228150024343781386
MagicCraft,821587440925147137
MagicCraft,502168054151774209
MagicCraft,741399311472001128
MagicCraft,247448934031687680
MagicCraft,799990663201554492
MagicCraft,410236002779529228
MagicCraft,280830265922813952
MagicCraft,598250493743202312
MagicCraft,599372426286989315
MagicCraft,730351952583720970
MagicCraft,541596218585776130
MagicCraft,848165985721909268
MagicCraft,395214701673316353
MagicCraft,231428269717585920
MagicCraft,714201424023650324
MagicCraft,328895647568756739
MagicCraft,377786754985492490
MagicCraft,612980043982831646
MagicCraft,582934991093366824
MagicCraft,211483050008248321
MagicCraft,277761863092011008
MagicCraft,324932124878700544
MagicCraft,308286499873619969
MagicCraft,594144979228819476
MagicCraft,515264386441674778
MagicCraft,846016671915180072
MagicCraft,832124909152501762
MagicCraft,483712789186347019
MagicCraft,276290069244018689
MagicCraft,437274372907204618
MagicCraft,236581921126088708
MagicCraft,515495924295008257
MagicCraft,332922740019298316
MagicCraft,665594696789131315
MagicCraft,538086945100922890
MagicCraft,177087614728404993
MagicCraft,374644050940264452
MagicCraft,474942647992188928
MagicCraft,344237060376363009
MagicCraft,458186727169720341
MagicCraft,802836450994421771
MagicCraft,275739330063106048
MagicCraft,462775867811299328
MagicCraft,492881022430609408
MagicCraft,809503554947121204
MagicCraft,522187655463567420
MagicCraft,180670869251686400
MagicCraft,465199197864591380
MagicCraft,175789420308332544
MagicCraft,257959245188825088
MagicCraft,119534930295259136
MagicCraft,252501536356302848
MagicCraft,306884333451476992
MagicCraft,336094502940966914
MagicCraft,214800815498592256
MagicCraft,832272398552268800
MagicCraft,794983143533969418
MagicCraft,225332284033597440
MagicCraft,290525634785181706
MagicCraft,306545586742624256
MagicCraft,401745822703812620
MagicCraft,776526949857886231
MagicCraft,836697023037440070
MagicCraft,689383009614692384
MagicCraft,414520399435530252
MagicCraft,797726099001966592
MagicCraft,280053003065622528
MagicCraft,329380545840545793
MagicCraft,261898079190515712
MagicCraft,585861923292315658
MagicCraft,302847157960966148
MagicCraft,272143257289359360
MagicCraft,140097124745478144
MagicCraft,588470589753393173
MagicCraft,449705734754795532
MagicCraft,264009561529122827
MagicCraft,312281312650330112
MagicCraft,834417641363472384
MagicCraft,586562409443885057
MagicCraft,384074301680123904
MagicCraft,572873283490283522
MagicCraft,181723685965660160
MagicCraft,533757819586084876
MagicCraft,533573594337378316
MagicCraft,754755960353849435
MagicCraft,509715752295858185
MagicCraft,634429576273199124
MagicCraft,767073342728699925
MagicCraft,723103185627119647
MagicCraft,201384664290689024
MagicCraft,532241073054154752
MagicCraft,441326400654540820
MagicCraft,636609018953203723
MagicCraft,526303554651160586
MagicCraft,383960352939048960
MagicCraft,494470475011850240
MagicCraft,741194127739453441
MagicCraft,825834444878643292
MagicCraft,220264103862599680
MagicCraft,220117558588735498
MagicCraft,690179030481502480
MagicCraft,778318325607432193
MagicCraft,467367706505510942
MagicCraft,716237323053826068
MagicCraft,404369936706830337
MagicCraft,789446330535247872
MagicCraft,528594510494564372
MagicCraft,338600540428828672
MagicCraft,541606357468446720
MagicCraft,277337484835422209
MagicCraft,434000453903056906
MagicCraft,420953016275959816
MagicCraft,254242898315313152
MagicCraft,734802645725872188
MagicCraft,722107927170646086
MagicCraft,720630243399958634
MagicCraft,526509472051625987
MagicCraft,468805812408811521
MagicCraft,700632462719582333
MagicCraft,474908458844422155
MagicCraft,787314013742563340
MagicCraft,419880772770594827
MagicCraft,347096550503088129
MagicCraft,607225627661303809
MagicCraft,709060112228024381
MagicCraft,321684513547616256
MagicCraft,635770645560426506
MagicCraft,511534154312187934
MagicCraft,673295492985257984
MagicCraft,288764927676776449
MagicCraft,796363486858838016
MagicCraft,352430066149490688
MagicCraft,681873785862750208
MagicCraft,840295311221325905
MagicCraft,299560596976697344
MagicCraft,220819576957566976
MagicCraft,334023339515576320
MagicCraft,839913950891737088
MagicCraft,602981214827184139
MagicCraft,356073799910948887
MagicCraft,566679978717085697
MagicCraft,496984592151216138
MagicCraft,242012231041155072
MagicCraft,488392419335864340
MagicCraft,403962614033416192
MagicCraft,662794331341586435
MagicCraft,659795080605073458
MagicCraft,718449950920278028
MagicCraft,494539234938716160
MagicCraft,638825732876795905
MagicCraft,404349488715792384
MagicCraft,838721923503357983
MagicCraft,140734050863284225
MagicCraft,503899078514573323
MagicCraft,800301566476288012
MagicCraft,404209824231063552
MagicCraft,692508940499550338
MagicCraft,440248917691596840
MagicCraft,363006148787437568
MagicCraft,420330073661505538
MagicCraft,527637274901348362
MagicCraft,338955505475125248
MagicCraft,656785997941440513
MagicCraft,309318270551457792
MagicCraft,224268235296473089
MagicCraft,633337691798241311
MagicCraft,705434188609880107
MagicCraft,804479393090109511
MagicCraft,711578575370977340
MagicCraft,262710692996448256
MagicCraft,837857363716341820
MagicCraft,751787417211633728
MagicCraft,522098633680879636
MagicCraft,697112002811658261
MagicCraft,498093776166846464
MagicCraft,132589147746598912
MagicCraft,822534989546913805
MagicCraft,501439520344899594
MagicCraft,678328106762633247
MagicCraft,381558165612920837
MagicCraft,563967532730548237
MagicCraft,805046735981379640
MagicCraft,434779832514117643
MagicCraft,442039486612766720
MagicCraft,508610562499018753
MagicCraft,568023604290256917
MagicCraft,402869980560883713
MagicCraft,238656882003148800
MagicCraft,202106422148726785
MagicCraft,358719859162611713
MagicCraft,476051404599984163
MagicCraft,837405035197366273
MagicCraft,457285981200973854
MagicCraft,185078580634583040
MagicCraft,764062655945244723
MagicCraft,359339490554150914
MagicCraft,601137104998629403
MagicCraft,680824982359900241
MagicCraft,563750385227923487
MagicCraft,537529819445854209
MagicCraft,744097930683613227
MagicCraft,836651382265217134
MagicCraft,294561980218605570
MagicCraft,265910537450160129
MagicCraft,528997714784944128
MagicCraft,560181769370992640
MagicCraft,593321116081061898
MagicCraft,612340575491981347
MagicCraft,702551904659570778
MagicCraft,836158105598689280
MagicCraft,835810638910849106
MagicCraft,470343730218401792
MagicCraft,402502526408065025
MagicCraft,224609120215498752
MagicCraft,230428468112785408
MagicCraft,519952841603940354
MagicCraft,713064887928225795
MagicCraft,283892473741180929
MagicCraft,212215079716782081
MagicCraft,210439686622019584
MagicCraft,334714481819254785
MagicCraft,708043846986104922
MagicCraft,295478397579165697
MagicCraft,664540295282556950
MagicCraft,667053310515216386
MagicCraft,834446245468045363
MagicCraft,834100650165141534
MagicCraft,789407582153998336
MagicCraft,834051414941499392
MagicCraft,485026919465746434
MagicCraft,308159860602830848
MagicCraft,388026287941484544
MagicCraft,747452682058465361
MagicCraft,248209688829755393
MagicCraft,744878776223137804
MagicCraft,263411755810684929
MagicCraft,419774298232848414
MagicCraft,700431358224236625
MagicCraft,439774434258321418
MagicCraft,810851424183123969
MagicCraft,665251992288886816
MagicCraft,469435119258566657
MagicCraft,654000379205517352
MagicCraft,764536215545970749
MagicCraft,384657126078808064
MagicCraft,452546101216673794
MagicCraft,347726669701971969
MagicCraft,237193544023015424
MagicCraft,498152097947189249
MagicCraft,412005329497227276
MagicCraft,537678067557072897
MagicCraft,828650321558896662
MagicCraft,647893365324513321
MagicCraft,832716804408606720
MagicCraft,304390813511843840
MagicCraft,243069105605836803
MagicCraft,831879471362867210
MagicCraft,349938627956047873
MagicCraft,669967460719394857
MagicCraft,239336308546207745
MagicCraft,831473248209207337
MagicCraft,361870482787794955
MagicCraft,330480476546400257
MagicCraft,809469225320185876
MagicCraft,804453983535628309
