source,target
MineDisney,869314954195525643
MineDisney,726067444451639386
MineDisney,405456041141338122
MineDisney,435802499367305217
MineDisney,307891932410150912
MineDisney,177384685909835786
MineDisney,790163726354481184
MineDisney,234241841514545153
MineDisney,857544880905519104
MineDisney,791245472374718494
MineDisney,770687730996346922
MineDisney,620633813076410388
MineDisney,425720159530123264
MineDisney,287217082901331968
MineDisney,858460331667357726
MineDisney,251421817456164879
MineDisney,291987188902789120
MineDisney,590496545812643841
MineDisney,283668642770583553
MineDisney,777501868330713089
MineDisney,866800664364974090
MineDisney,599956691085164544
MineDisney,394898974214979584
MineDisney,439030790752567297
MineDisney,271720592472932373
MineDisney,843901361841373225
MineDisney,571975224803721226
MineDisney,855408155626176553
MineDisney,297642551224041472
MineDisney,396973914380566539
MineDisney,324761291338285066
MineDisney,380803340868517890
MineDisney,171310981455151105
MineDisney,422429928198504451
MineDisney,695592230890635295
MineDisney,462376742510788609
MineDisney,332922740019298316
MineDisney,460004792689754113
MineDisney,805454259566018610
MineDisney,388364112146726919
MineDisney,453958690144256023
MineDisney,660168165845630976
MineDisney,420968572697706497
MineDisney,825347869376512031
MineDisney,364457911222534145
MineDisney,640185736057847821
MineDisney,467065276601729024
MineDisney,713124991864012873
MineDisney,563794371741483043
MineDisney,820332076153962546
MineDisney,854036431886483466
MineDisney,717190118993035284
MineDisney,349196652017483777
MineDisney,805074298192003093
MineDisney,687216683567284230
MineDisney,823651651411902544
MineDisney,834703782058524682
MineDisney,806613516001083422
MineDisney,226644504596185088
MineDisney,201264142101774336
MineDisney,855126197204942890
MineDisney,510890929381703725
MineDisney,772175236920508448
MineDisney,681085077815427102
MineDisney,517349481163784224
MineDisney,301092265407938561
MineDisney,533346970987659265
MineDisney,809831550077501442
MineDisney,423173111396171778
MineDisney,412164193446395915
MineDisney,334686777514131456
MineDisney,652208474909966356
MineDisney,771434522209550356
MineDisney,604368435433963586
MineDisney,595723094174203937
MineDisney,719510610274156585
MineDisney,372088553997336607
MineDisney,492085251674210304
MineDisney,510186291254525964
MineDisney,639845523070648366
MineDisney,689239409425514549
MineDisney,447767808739246082
MineDisney,389029693539745804
MineDisney,498154814799216681
MineDisney,404301995093262338
MineDisney,670963780179591200
MineDisney,448197364013072385
MineDisney,789959114469146664
MineDisney,468431222897508362
MineDisney,759776033884209174
MineDisney,220615091421184001
MineDisney,675664110389821441
MineDisney,233219325044064257
MineDisney,701862096563863682
MineDisney,219428000595181568
MineDisney,816074918201393242
MineDisney,853292772350099476
MineDisney,839559137897480193
MineDisney,825139988885929994
MineDisney,823226505538174977
MineDisney,373182548269989889
MineDisney,756191768025759816
MineDisney,779789305429622794
MineDisney,612216978517655553
MineDisney,396373309987749888
MineDisney,223111845991415808
MineDisney,299559868535275520
MineDisney,420292117051605002
MineDisney,670318141871751178
MineDisney,514565783083417603
MineDisney,429660985691865088
MineDisney,695813582750744607
MineDisney,140928745845293056
MineDisney,166921192941289472
MineDisney,665606084077027401
MineDisney,463043833622429717
MineDisney,812682986318725141
MineDisney,420264465552900096
MineDisney,850033639265533963
MineDisney,348361274649870347
MineDisney,400629685777727490
MineDisney,787696204124651531
MineDisney,400646982542032897
MineDisney,424914551658774529
MineDisney,474674530401648680
MineDisney,418832479529730059
MineDisney,586937737089908746
MineDisney,320936471546691595
MineDisney,793206635241799730
MineDisney,680108689801347114
MineDisney,780833621715189765
MineDisney,660559651246702642
MineDisney,662660943431598081
MineDisney,434600531013664768
MineDisney,714201424023650324
MineDisney,749420506620362862
MineDisney,205448828617228299
MineDisney,513256741857918987
MineDisney,696328486188613684
MineDisney,492194990269661215
MineDisney,283720560272211970
MineDisney,846409256076705823
MineDisney,835889273516851200
MineDisney,425346665692790794
MineDisney,257106621258399746
MineDisney,392352641327562752
MineDisney,659489932959547423
MineDisney,444213568087261194
MineDisney,380795605607383046
MineDisney,690290952295940267
MineDisney,326111023809560576
MineDisney,659430328162844672
MineDisney,248514637723729922
MineDisney,461958944189972490
MineDisney,667858565914165269
MineDisney,578982496230703106
MineDisney,512269462859415592
MineDisney,693462727821361212
MineDisney,303154611274121218
MineDisney,536292523191304235
MineDisney,776815067802894366
MineDisney,460561211684290571
MineDisney,347762112988184587
MineDisney,601137104998629403
MineDisney,816986569482174484
MineDisney,723471628671123466
MineDisney,784105217096155139
MineDisney,493441328370155522
MineDisney,411611103081005057
MineDisney,488933649027301386
MineDisney,607158841754255361
MineDisney,688771494041485466
MineDisney,698816380954345562
MineDisney,832981708596838480
MineDisney,329320816942645251
MineDisney,227822161279057920
MineDisney,307819162330333184
MineDisney,348200018244796416
MineDisney,800766362527465512
MineDisney,693946362567458867
MineDisney,533757819586084876
MineDisney,161090215379730432
MineDisney,688833431307812898
MineDisney,439024154902134786
MineDisney,819910899363872830
MineDisney,312281312650330112
MineDisney,416589003488493578
MineDisney,694157793858551819
MineDisney,138687479309008896
MineDisney,688811908236574735
MineDisney,678240329857630228
MineDisney,716686783827673200
MineDisney,668233771861934097
MineDisney,836365300457930792
MineDisney,360057645517897729
MineDisney,490582491179253771
MineDisney,616653149091921921
MineDisney,537541230016593930
MineDisney,227234786110865408
MineDisney,648871564380733440
MineDisney,699951669714223124
MineDisney,716573381004099646
MineDisney,695333163949490236
MineDisney,613395720644591646
MineDisney,728629191247134821
MineDisney,691307613031235604
MineDisney,692669677155123231
MineDisney,785146270339170335
MineDisney,430290424251285508
MineDisney,340109642908827649
MineDisney,685801805338378242
MineDisney,660235242379935785
MineDisney,664234366951751682
MineDisney,696726657322451045
MineDisney,546684871460782131
MineDisney,490982544326524929
MineDisney,240218390176858123
MineDisney,788452389052743741
MineDisney,789828038283886622
MineDisney,709146466173714452
MineDisney,270600179629948928
MineDisney,312246952051867648
MineDisney,449705734754795532
MineDisney,387915398634274816
MineDisney,429016196709613588
MineDisney,773619930330824726
MineDisney,752059756608225281
MineDisney,796092526078722069
MineDisney,726947523134226453
MineDisney,403298937345409034
MineDisney,345573878208135169
MineDisney,504013257502097408
MineDisney,583699745449705482
MineDisney,197689537000898560
MineDisney,239336308546207745
MineDisney,718449950920278028
MineDisney,747494687010717776
MineDisney,659795080605073458
MineDisney,736875321294454875
MineDisney,744097930683613227
MineDisney,722854199901028929
MineDisney,623181557527609344
MineDisney,723568176960372776
MineDisney,793097523736346665
MineDisney,327800753626415105
MineDisney,598570793558999060
MineDisney,588754343591936003
MineDisney,277486666459906049
MineDisney,503598046089838593
MineDisney,375783659686461441
MineDisney,389528596810825728
MineDisney,688288194285928497
MineDisney,595936593580130308
MineDisney,188743022555430912
MineDisney,430776867688284221
MineDisney,747484095658983575
MineDisney,371953974942760961
MineDisney,494518334910496771
MineDisney,786211149439565894
MineDisney,475961307603140608
MineDisney,739746531124445204
MineDisney,721039033500827699
MineDisney,188953457028366336
MineDisney,818880719656189993
MineDisney,344094312096727041
MineDisney,522297291692834816
MineDisney,752566364383871169
MineDisney,816770883388571708
MineDisney,606191668269547533
MineDisney,692309266664652881
MineDisney,240170669621510145
MineDisney,838063670386753567
MineDisney,783408988515074129
MineDisney,306883623603142657
MineDisney,682209650082709514
MineDisney,408297287450755073
MineDisney,334682210407809036
MineDisney,668018270753914890
MineDisney,303255460671127559
MineDisney,689131751351517289
MineDisney,690116209546362937
MineDisney,226313843435896832
MineDisney,640330436010311691
MineDisney,837753450057433139
MineDisney,483727063728128051
MineDisney,331825682059624448
MineDisney,527501301471248384
MineDisney,611324435206635524
MineDisney,485776821477048321
MineDisney,366993964651380738
MineDisney,361870482787794955
MineDisney,280824864158384128
MineDisney,659385086327652352
MineDisney,620320699424440380
MineDisney,638825732876795905
MineDisney,487710653562355734
MineDisney,326685921539784714
MineDisney,610441641911910413
MineDisney,417227114631135233
MineDisney,310372185053200394
MineDisney,394427898121027585
MineDisney,663106439031816222
MineDisney,475352894976032789
MineDisney,837361798847004733
MineDisney,807628639201001512
MineDisney,314129621522317314
MineDisney,804399159623942154
MineDisney,482232301753860116
MineDisney,674497357467090944
MineDisney,628309112786124819
MineDisney,699971350625779714
MineDisney,716682416470753372
MineDisney,812597934730117145
