source,target
PAMC - World,869314954195525643
PAMC - World,244853581994393600
PAMC - World,667729081416286221
PAMC - World,731883739352662088
PAMC - World,797136899989831723
PAMC - World,764506839919624213
PAMC - World,311925597914005505
PAMC - World,537001916736077824
PAMC - World,741399311472001128
PAMC - World,374514974027939840
PAMC - World,165563814660669440
PAMC - World,787399030040428584
PAMC - World,789567203706929163
PAMC - World,867812121891045378
PAMC - World,772148309057339442
PAMC - World,722834713680805918
PAMC - World,686702890823581819
PAMC - World,736242870444359711
PAMC - World,236564336829530112
PAMC - World,425363385220202506
PAMC - World,268748549297012738
PAMC - World,710546880446070795
PAMC - World,520155900380446720
PAMC - World,793968424614887424
PAMC - World,419175357351067659
PAMC - World,264110891417468938
PAMC - World,755832622793359361
PAMC - World,554769802044899354
PAMC - World,787028406373318677
PAMC - World,220571468180750336
PAMC - World,700114337087357041
PAMC - World,647527801326403614
PAMC - World,424913700122525716
PAMC - World,275335830908698635
PAMC - World,288703873273561089
PAMC - World,341642114045706241
PAMC - World,717307146856955914
PAMC - World,690290952295940267
PAMC - World,281508207275409409
PAMC - World,434663174634078208
PAMC - World,207973921138540544
PAMC - World,417607304184070145
PAMC - World,435074857126854686
PAMC - World,740993934985003069
PAMC - World,859850776000069672
PAMC - World,321743713749434378
PAMC - World,804351196914647050
PAMC - World,565919993309560842
PAMC - World,543862803195363358
PAMC - World,786251248373989396
PAMC - World,842867892764934144
PAMC - World,480327183965880321
PAMC - World,493148461428899841
PAMC - World,521443484943515659
PAMC - World,719510610274156585
PAMC - World,723600648033009736
PAMC - World,727515719495057478
PAMC - World,662044167500857353
PAMC - World,681873785862750208
PAMC - World,352430066149490688
PAMC - World,328476813242269697
PAMC - World,857266962965856286
PAMC - World,595536502185000980
PAMC - World,210439686622019584
PAMC - World,199598776103469056
PAMC - World,666276818495733791
PAMC - World,804723586668691468
PAMC - World,434398833188012032
PAMC - World,687383637942861940
PAMC - World,855197109514010654
PAMC - World,855010107465007130
PAMC - World,495608350206328833
PAMC - World,629336271923183630
PAMC - World,287900546537357312
PAMC - World,403620648024539137
PAMC - World,805496535290085396
PAMC - World,838395676256632832
PAMC - World,848958762881908746
PAMC - World,792742068219805697
PAMC - World,521025880836014101
PAMC - World,713073461873868912
PAMC - World,690552463308226562
PAMC - World,704350772959248484
PAMC - World,544492504410619906
PAMC - World,289478007083499531
PAMC - World,778311745315930154
PAMC - World,529360476459499532
PAMC - World,379381223979614219
PAMC - World,744827469885866055
PAMC - World,841913798473547787
PAMC - World,531580817995071499
PAMC - World,777554964813185044
PAMC - World,225710574883962881
PAMC - World,420263276635488256
PAMC - World,337533939378028546
PAMC - World,789863634112217099
PAMC - World,583973144641929216
PAMC - World,449914704081453056
PAMC - World,647748499173146636
PAMC - World,718410725940265001
PAMC - World,723140630389456984
PAMC - World,800102339439624193
PAMC - World,605371861844492297
PAMC - World,787618749623566346
PAMC - World,839616960354713611
PAMC - World,670960437495463936
PAMC - World,830464875749965925
PAMC - World,258578694958743553
PAMC - World,226665397036777482
PAMC - World,398067519593775104
PAMC - World,662794331341586435
PAMC - World,802835619465265184
PAMC - World,836158105598689280
PAMC - World,820302281390948353
PAMC - World,793230158865629195
PAMC - World,645604888683872256
PAMC - World,443146476605014037
PAMC - World,589115105346846741
PAMC - World,280328788838187011
PAMC - World,633337691798241311
PAMC - World,735621212486500433
PAMC - World,597207203480469524
PAMC - World,676830448000827404
PAMC - World,807961220225040394
PAMC - World,224119107392372736
PAMC - World,398158450594545674
PAMC - World,241616253364600833
PAMC - World,363971718747783181
PAMC - World,456226577798135808
PAMC - World,776487542958194719
PAMC - World,635770645560426506
PAMC - World,660834116815552523
PAMC - World,465221668093296640
PAMC - World,735197238854418572
PAMC - World,432119426163146762
PAMC - World,825399310338097193
PAMC - World,336097693682237440
PAMC - World,332960351601688616
PAMC - World,822160867688185936
PAMC - World,327807048509030400
PAMC - World,581630474489692160
PAMC - World,741261495983276075
PAMC - World,391963679505252352
PAMC - World,684004489572909087
PAMC - World,469590229070774273
PAMC - World,534813565991911444
PAMC - World,720235335329644554
PAMC - World,809517370913063002
PAMC - World,706834153273950218
PAMC - World,765895165453402142
PAMC - World,817008364055691275
PAMC - World,417685634526740500
PAMC - World,548989456116613171
PAMC - World,770558280497758238
PAMC - World,267637011769327616
PAMC - World,299854439215398923
PAMC - World,563750385227923487
PAMC - World,464151102871568395
PAMC - World,668696726433038356
PAMC - World,500402025260122170
PAMC - World,215412097050345472
PAMC - World,511114106409844738
PAMC - World,575928109828931584
PAMC - World,811608739026698275
PAMC - World,811394094056210472
PAMC - World,156006819364470784
PAMC - World,293068207726526464
PAMC - World,265502625321975809
PAMC - World,242012231041155072
PAMC - World,253560719444803584
PAMC - World,195979856733929472
PAMC - World,670732968947482675
PAMC - World,424861052484714507
PAMC - World,209262503606222848
PAMC - World,433192493824212992
PAMC - World,794150346481598474
PAMC - World,793622146734751745
PAMC - World,344910940401303553
PAMC - World,427118749770973196
PAMC - World,697440356785979415
PAMC - World,801131542588031037
PAMC - World,770210996689305620
PAMC - World,485434556376285185
PAMC - World,758748057591873648
PAMC - World,692734559455936602
PAMC - World,793992030543020084
PAMC - World,344851800693669898
PAMC - World,440606038102900746
PAMC - World,786976812155928597
PAMC - World,772217974257090591
PAMC - World,695724774378176584
PAMC - World,431882101269331969
PAMC - World,753239743260524647
PAMC - World,596274209794293760
PAMC - World,381164495609004032
PAMC - World,607225627661303809
PAMC - World,483725703720861696
PAMC - World,642061868491603998
PAMC - World,516687900616949794
PAMC - World,799012327823114300
PAMC - World,695013850424279239
PAMC - World,792730891352408074
PAMC - World,460357720957255692
PAMC - World,797869041875288074
PAMC - World,772448164917280820
PAMC - World,343391026427461642
PAMC - World,797426949282332693
PAMC - World,620254869655257156
PAMC - World,566886186740613149
PAMC - World,752140163538354197
PAMC - World,794972705018871852
PAMC - World,590625776836280320
PAMC - World,475682719343575040
PAMC - World,619922741931540482
PAMC - World,259460409239666688
PAMC - World,256853874009178123
PAMC - World,523514773493514272
PAMC - World,787793839288483860
PAMC - World,350610404583669760
PAMC - World,323234672647602176
PAMC - World,714952898810740756
PAMC - World,240909125305892865
PAMC - World,252501536356302848
PAMC - World,498511877635047424
PAMC - World,206395129446137857
PAMC - World,315566802119688192
PAMC - World,771486799755214908
PAMC - World,605771096687509533
PAMC - World,739143334097846323
PAMC - World,474921494716088332
PAMC - World,660226707420348433
PAMC - World,618958292252753950
PAMC - World,753630876813885630
PAMC - World,625687769167167528
PAMC - World,742087174425411596
PAMC - World,511954717803544596
PAMC - World,747433843241386005
PAMC - World,771409919521193984
PAMC - World,129582501394907136
PAMC - World,251773233848778752
PAMC - World,252517766848839682
PAMC - World,378916126475943937
PAMC - World,706874125964017696
PAMC - World,767344219395457034
PAMC - World,293781089011367946
PAMC - World,282540431504572416
PAMC - World,487633013253996584
PAMC - World,367670142387224576
PAMC - World,698320032454803507
PAMC - World,758746391077584917
PAMC - World,703992864845332563
PAMC - World,748230426379681822
PAMC - World,247353905434853376
PAMC - World,207570811987427328
PAMC - World,527846947374235658
PAMC - World,419034807830315011
PAMC - World,367117914102431754
PAMC - World,206972094724964353
PAMC - World,414175246887813142
PAMC - World,565472298061266954
PAMC - World,432533456807919639
PAMC - World,651483932868739073
PAMC - World,645667124202831883
PAMC - World,590589624510971924
PAMC - World,589946394752843796
PAMC - World,709060112228024381
PAMC - World,208247293323902977
PAMC - World,527648522061742101
PAMC - World,164380973075660801
PAMC - World,547045456337960970
PAMC - World,354602084445978628
PAMC - World,238702683362557952
PAMC - World,298857452831637508
PAMC - World,353699657949380608
PAMC - World,749551176919416884
PAMC - World,530499064618418206
PAMC - World,734000608222380062
PAMC - World,166862680089427968
PAMC - World,713671509004124180
PAMC - World,224571990567026705
PAMC - World,609839565640957963
PAMC - World,445119035793997834
PAMC - World,313031700873478144
PAMC - World,474557766829080578
PAMC - World,500696979488243712
PAMC - World,466578580449525760
PAMC - World,363649290687479808
PAMC - World,328225494325788673
PAMC - World,154299078967033857
PAMC - World,482977529846693899
PAMC - World,231759443623149568
PAMC - World,722063773921443860
PAMC - World,713021200934109231
PAMC - World,742152043619418123
PAMC - World,478918489357418516
PAMC - World,729998884943691847
PAMC - World,744632131589767199
PAMC - World,622392620148195338
PAMC - World,732293029578276976
PAMC - World,718475207970390046
PAMC - World,341665026643460096
PAMC - World,265885403083571220
PAMC - World,338647745978171402
PAMC - World,215861795338846210
PAMC - World,246669349211996160
PAMC - World,178488481645985792
PAMC - World,691340063669485570
PAMC - World,733377291073355896
PAMC - World,714839410721423381
PAMC - World,500721978106314753
PAMC - World,601121742290681872
PAMC - World,742302908724412426
PAMC - World,509332584694546432
PAMC - World,323416797187538947
PAMC - World,445197551994535946
PAMC - World,691315248350625793
PAMC - World,660196962297053233
PAMC - World,500686472282898457
PAMC - World,245270832602021901
PAMC - World,563429951391662083
PAMC - World,344586081028800512
PAMC - World,450065955209478155
PAMC - World,731595546577338388
PAMC - World,311604263610744834
PAMC - World,229535246448721920
PAMC - World,404725078887104518
PAMC - World,361547332543578112
PAMC - World,252522849301037056
PAMC - World,733268669907468318
PAMC - World,635044660334559242
PAMC - World,575728973934231572
PAMC - World,629342162051399693
PAMC - World,606985091922526245
PAMC - World,673605410204418048
PAMC - World,720586730452811817
PAMC - World,384777258612555786
PAMC - World,287508980232749056
PAMC - World,729247762331336736
PAMC - World,549141702728744963
PAMC - World,600363296532463616
PAMC - World,391909174902128643
PAMC - World,327361985127776256
PAMC - World,233999605614772224
PAMC - World,527530056877080586
PAMC - World,290874284048646145
PAMC - World,341263768996806657
PAMC - World,321249808478109696
PAMC - World,627178011778744330
PAMC - World,300574350426243073
PAMC - World,459851013881462787
PAMC - World,561608587143806989
PAMC - World,612299894920708249
PAMC - World,338437763206610944
PAMC - World,342386160896704512
PAMC - World,594596631156883467
PAMC - World,397435475658276864
PAMC - World,630081680266362911
PAMC - World,577545735541751821
PAMC - World,377523142756925450
PAMC - World,335497607759527938
PAMC - World,414804138463985675
PAMC - World,210106268503769098
PAMC - World,511134912762478604
PAMC - World,142934103174545408
PAMC - World,253592134211469322
PAMC - World,646394492563488817
PAMC - World,550979901675667456
PAMC - World,717671427506962484
PAMC - World,689060580216143893
PAMC - World,707256296780595285
PAMC - World,692777696882851941
