,source,target
0,MCAmusement,2422903015
1,MCAmusement,1173889859401859072
2,MCAmusement,1177967887987793920
3,MCAmusement,1056068613860454400
4,MCAmusement,1334260049280163846
5,MCAmusement,1418301818417909762
6,MCAmusement,1217620247907307524
7,MCAmusement,1375819339769724928
8,MCAmusement,1088187304127139840
9,MCAmusement,795327192372756481
10,MCAmusement,1158437436323708928
11,MCAmusement,1346192424045973504
12,MCAmusement,910448408
13,MCAmusement,743977356608438272
14,MCAmusement,225945754
15,MCAmusement,1411422911399931911
16,MCAmusement,1372128163770167296
17,MCAmusement,3276397098
18,MCAmusement,1398076677004021765
19,MCAmusement,1187457835568902149
20,MCAmusement,1146404915578904577
21,MCAmusement,1050485922737922048
22,MCAmusement,778091700669546496
23,MCAmusement,869641120787030016
24,MCAmusement,1406666673160085508
25,MCAmusement,1366749962718109697
26,MCAmusement,1263683207783788545
27,MCAmusement,149971373
28,MCAmusement,1388259110802493440
29,MCAmusement,1125205422510673920
30,MCAmusement,931937831639027712
31,MCAmusement,1308453501790347265
32,MCAmusement,976323345867255808
33,MCAmusement,29934439
34,MCAmusement,1082869959909363712
35,MCAmusement,1391721480577294342
36,MCAmusement,1067951888249864192
37,MCAmusement,1265635665674301442
38,MCAmusement,1396764015137857536
39,MCAmusement,1394035679022260230
40,MCAmusement,1365765035440693250
41,MCAmusement,1394101357070544898
42,MCAmusement,1357005152734052353
43,MCAmusement,1367869876908527621
44,MCAmusement,1389770181979688960
45,MCAmusement,1212604513862877185
46,MCAmusement,3278819724
47,MCAmusement,1387504199748005890
48,MCAmusement,1384643514894594050
49,MCAmusement,1313590559903305730
50,MCAmusement,1318448868745310208
51,MCAmusement,797611995247874048
52,MCAmusement,1162439351722135552
53,MCAmusement,2907000291
54,MCAmusement,1341303655912366081
55,MCAmusement,1318127244435480576
56,MCAmusement,1245756444550496256
57,MCAmusement,1292138522602684416
58,MCAmusement,998347393639895040
59,MCAmusement,2334315505
60,MCAmusement,1360351262353498114
61,MCAmusement,1374132682662113281
62,MCAmusement,1248054478185435137
63,MCAmusement,1006189171717705728
64,MCAmusement,833411050850615299
65,MCAmusement,1233930822865969153
66,MCAmusement,1370417892190253060
67,MCAmusement,1210192638
68,MCAmusement,723685571395248129
69,MCAmusement,2960864788
70,MCAmusement,978001951911809024
71,MCAmusement,2419436606
72,MCAmusement,1228988981217497088
73,MCAmusement,1278101097182310400
74,MCAmusement,1173828685461368832
75,MCAmusement,590173407
76,MCAmusement,1363911270181797891
77,MCAmusement,1358823583963881474
78,MCAmusement,1090045739852455942
79,MCAmusement,1334236833807364096
80,MCAmusement,979804386623856641
81,MCAmusement,1337774136718974981
82,MCAmusement,750438135197237249
83,MCAmusement,2353917769
84,MCAmusement,1342928264055173121
85,MCAmusement,759471870739636224
86,MCAmusement,826244415194738688
87,MCAmusement,18903928
88,MCAmusement,1335466533246488576
89,MCAmusement,1009463558726455296
90,MCAmusement,2751243128
91,MCAmusement,931934188940480512
92,MCAmusement,1289198520751263744
93,MCAmusement,748876117847707648
94,MCAmusement,838847074888257536
95,MCAmusement,964525981666103296
96,MCAmusement,1271442505242984457
97,MCAmusement,1324699442939785217
98,MCAmusement,1321347518190350336
99,MCAmusement,1278480399480623105
100,MCAmusement,1322709033485275138
101,MCAmusement,1303328183421468673
102,MCAmusement,880509940917555203
103,MCAmusement,1284361789317226496
104,MCAmusement,774640165453082624
105,MCAmusement,4576233612
106,MCAmusement,1316532090704408578
107,MCAmusement,852844649815449600
108,MCAmusement,1171822208668377089
109,MCAmusement,1313951165504249867
110,MCAmusement,1303529387837386752
111,MCAmusement,1313882695886270465
112,MCAmusement,1313128022900436992
113,MCAmusement,842924149093818368
114,MCAmusement,1295556129909547009
115,MCAmusement,1063697426383392770
116,MCAmusement,23637705
117,MCAmusement,1286297086326116352
118,MCAmusement,1304064951443628033
119,MCAmusement,1302293638764990464
120,MCAmusement,41236018
121,MCAmusement,1002937417773535232
122,MCAmusement,1305865960465760257
123,MCAmusement,1293330178471493640
124,MCAmusement,328453904
125,MCAmusement,1261018502519042054
126,MCAmusement,1300212526383153152
127,MCAmusement,1228715762770046977
128,MCAmusement,1032708285487636485
129,MCAmusement,1304832708493881344
130,MCAmusement,1301602853702848513
131,MCAmusement,1297470427833307136
132,MCAmusement,1290662447297318915
133,MCAmusement,1296233899995967488
134,MCAmusement,1246201678627581952
135,MCAmusement,895722066170851330
136,MCAmusement,3169445040
137,MCAmusement,1293687378289340417
138,MCAmusement,1291674775878864901
139,MCAmusement,1063879158105849857
140,MCAmusement,745029843386044416
141,MCAmusement,1167454588271808512
142,MCAmusement,1291559793367416832
143,MCAmusement,1229830195869343744
144,MCAmusement,1289991614052610055
145,MCAmusement,899273786201165824
146,MCAmusement,1069753231524261888
147,MCAmusement,1287705186102902784
148,MCAmusement,1255413595476762624
149,MCAmusement,2317653049
150,MCAmusement,1285331376313470976
151,MCAmusement,1240832871599759365
152,MCAmusement,985543419987677185
153,MCAmusement,1247706395891425280
154,MCAmusement,1283706240363753472
155,MCAmusement,1282686213242138631
156,MCAmusement,764711366737338368
157,MCAmusement,1278833305882943488
158,MCAmusement,1273164174840016898
159,MCAmusement,869528443783958529
160,MCAmusement,1269404947155693570
161,MCAmusement,2944638332
162,MCAmusement,1220927600266301445
163,MCAmusement,1848757759
164,MCAmusement,1150783987599757312
165,MCAmusement,2843244641
166,MCAmusement,1271168122465083392
167,MCAmusement,24305126
168,MCAmusement,1268694782852784129
169,MCAmusement,2604846511
170,MCAmusement,1251620264086921217
171,MCAmusement,101643869
172,MCAmusement,877833643732938752
173,MCAmusement,4685597774
174,MCAmusement,1245974253024886784
175,MCAmusement,36791021
176,MCAmusement,4561220190
177,MCAmusement,723661266934358016
178,MCAmusement,1174624583774695424
179,MCAmusement,2240398346
180,MCAmusement,1265009754822381575
181,MCAmusement,1033883699983671297
182,MCAmusement,1138728967450443778
183,MCAmusement,204403515
184,MCAmusement,895072457198944257
185,MCAmusement,1264953419216744448
186,MCAmusement,1264941459930841088
187,MCAmusement,855919837482233856
188,MCAmusement,1219771111518494720
189,MCAmusement,1061863390711173120
190,MCAmusement,1119060120799809538
191,MCAmusement,1013304819421990912
192,MCAmusement,1183490818088341510
193,MCAmusement,1264438518320959489
194,MCAmusement,1060415126
195,MCAmusement,1036959946368319494
196,MCAmusement,754764209032921092
197,MCAmusement,1094971289591336960
198,MCAmusement,1038550516786028544
199,MCAmusement,3357003466
200,MCAmusement,3288411480
201,MCAmusement,1248738714580160512
202,MCAmusement,2837152667
203,MCAmusement,1262675523819524098
204,MCAmusement,1262358561713262592
205,MCAmusement,1260302218877689869
206,MCAmusement,2896915062
207,MCAmusement,1260268708607508481
208,MCAmusement,1172134561570000900
209,MCAmusement,1230799633422655488
210,MCAmusement,1259271287450619904
211,MCAmusement,1338127380
212,MCAmusement,850782191277621248
213,MCAmusement,1124916582608658433
214,MCAmusement,1076303963379679233
215,MCAmusement,855851904852774913
216,MCAmusement,1204884291580289025
217,MCAmusement,1247954194377527297
218,MCAmusement,1063654677575696384
219,MCAmusement,3146327338
220,MCAmusement,40763894
221,MCAmusement,976276578194919431
222,MCAmusement,1021446048781422594
223,MCAmusement,1247740504223047680
224,MCAmusement,882757512298061824
225,MCAmusement,876472741964259329
226,MCAmusement,827281113403973632
227,MCAmusement,1183495247659180032
228,MCAmusement,1251085865725632513
229,MCAmusement,1251042868971499520
230,MCAmusement,851583398355374082
231,MCAmusement,1168362520836497408
232,MCAmusement,1222203193502982144
233,MCAmusement,1199526918586060805
234,MCAmusement,767881450355994625
235,MCAmusement,3307102038
236,MCAmusement,957031636771614720
237,MCAmusement,1087519846642995200
238,MCAmusement,1243508687211200513
239,MCAmusement,716062610500681729
240,MCAmusement,4870592735
241,MCAmusement,985639411881775105
242,MCAmusement,1077760908364054529
243,MCAmusement,4237840713
244,MCAmusement,1231601867123306503
245,MCAmusement,1199090638035312640
246,MCAmusement,1112558878099570688
247,MCAmusement,4579571313
248,MCAmusement,1221425765880868871
249,MCAmusement,1200518715860639744
250,MCAmusement,3536027009
251,MCAmusement,1217236730643795968
252,MCAmusement,1215898885903642624
253,MCAmusement,1176397479547457537
254,MCAmusement,747619499579322368
255,MCAmusement,1214385030182690816
256,MCAmusement,1177360882696933377
257,MCAmusement,1148412377202696192
258,MCAmusement,1149538823069552640
259,MCAmusement,1072212250298105861
260,MCAmusement,1154496608119250949
261,MCAmusement,1048746185702301701
262,MCAmusement,781380686313844736
263,MCAmusement,976917770330832896
264,MCAmusement,865953234963320833
265,MCAmusement,783841763563757569
266,MCAmusement,866984429394292737
267,MCAmusement,1198538332860538881
268,MCAmusement,239529147
269,MCAmusement,436249595
270,MCAmusement,1195830749452275714
271,MCAmusement,4818031440
272,MCAmusement,1191859225095528449
273,MCAmusement,1055983852047491072
274,MCAmusement,897148739298754560
275,MCAmusement,706637898016288768
276,MCAmusement,717311984509796353
277,MCAmusement,1127767302416621574
278,MCAmusement,931939508182020096
279,MCAmusement,728368937558106112
280,MCAmusement,956688620693409792
281,MCAmusement,798572230754107392
282,MCAmusement,4269433769
283,MCAmusement,1080605024454148101
284,MCAmusement,971743149918969856
285,MCAmusement,3323667619
286,MCAmusement,1167441169
287,MCAmusement,1131819870822252545
288,MCAmusement,18788297
289,MCAmusement,1174914821776498688
290,MCAmusement,90716563
291,MCAmusement,818184662937960448
292,MCAmusement,71687154
293,MCAmusement,1169430818747535360
294,MCAmusement,1165023049902690311
295,MCAmusement,3298786859
296,MCAmusement,1160706580708569089
297,MCAmusement,1116288813251342337
298,MCAmusement,990791273958146048
299,MCAmusement,881686078469623808
300,MCAmusement,1309563817
301,MCAmusement,2419152732
302,MCAmusement,1119578008141090817
303,MCAmusement,1155579418569580544
304,MCAmusement,851130412541890560
305,MCAmusement,2535659111
306,MCAmusement,1161275719655100416
307,MCAmusement,1160095347797983232
308,MCAmusement,2771837339
309,MCAmusement,741071854308360192
310,MCAmusement,740059096066318336
311,MCAmusement,749755052697411585
312,MCAmusement,1056860687622987776
313,MCAmusement,966180564263981056
314,MCAmusement,3097233359
315,MCAmusement,1106991163314188288
316,MCAmusement,959401
317,MCAmusement,1046022266214117376
318,MCAmusement,1139724804418940928
319,MCAmusement,878055291778080768
320,MCAmusement,780162405959630849
321,MCAmusement,831666407012171776
322,MCAmusement,4634902775
323,MCAmusement,845666880476139522
324,MCAmusement,21020693
325,MCAmusement,1132789523945992193
326,MCAmusement,4770322263
327,MCAmusement,2856857189
328,MCAmusement,705291128484945920
329,MCAmusement,871790875550121987
330,MCAmusement,981609015598899200
331,MCAmusement,623251881
332,MCAmusement,1153476319490875398
333,MCAmusement,1080347480787578881
334,MCAmusement,1151632394312663045
335,MCAmusement,1151633893889470467
336,MCAmusement,1143246949077803008
337,MCAmusement,2761290393
338,MCAmusement,1149546121535971329
339,MCAmusement,741501383799504896
340,MCAmusement,908127179388600320
341,MCAmusement,1147232485991964677
342,MCAmusement,2828839386
343,MCAmusement,1144289616578486272
344,MCAmusement,1100973929512857601
345,MCAmusement,3119192973
346,MCAmusement,807425994483179520
347,MCAmusement,3394800165
348,MCAmusement,1059233489218871296
349,MCAmusement,248422601
350,MCAmusement,1013252451808378880
351,MCAmusement,1292335842
352,MCAmusement,1140605616551079936
353,MCAmusement,1029177408908414977
354,MCAmusement,729190426582749184
355,MCAmusement,1137374125238996993
356,MCAmusement,1012926869866532864
357,MCAmusement,761979406617239552
358,MCAmusement,1119738827558408193
359,MCAmusement,1131791691218792448
360,MCAmusement,1020004834433552384
361,MCAmusement,763846713291448320
362,MCAmusement,1108099143640203265
363,MCAmusement,251236162
364,MCAmusement,1119202790952329216
365,MCAmusement,1068956161020493825
366,MCAmusement,1118657115726450688
367,MCAmusement,21896402
368,MCAmusement,3689692337
369,MCAmusement,851635666882404353
370,MCAmusement,729074544627974144
371,MCAmusement,1116901853848113153
372,MCAmusement,1115406068966940672
373,MCAmusement,906715495855939584
374,MCAmusement,624742046
375,MCAmusement,4303479859
376,MCAmusement,756499136212533248
377,MCAmusement,778559568217567236
378,MCAmusement,389846963
379,MCAmusement,1062089244397563904
380,MCAmusement,1007377212839026689
381,MCAmusement,855141854
382,MCAmusement,2831192208
383,MCAmusement,819519180277956608
384,MCAmusement,4888482142
385,MCAmusement,733080404526129152
386,MCAmusement,1097037602476183552
387,MCAmusement,1100206305606799360
388,MCAmusement,993298841142202369
389,MCAmusement,4798482094
390,MCAmusement,1099753095909634048
391,MCAmusement,935723746849107974
392,MCAmusement,753336046192951296
393,MCAmusement,1020607863100792832
394,MCAmusement,1093764880018993153
395,MCAmusement,1092642878784819200
396,MCAmusement,1092588818480287744
397,MCAmusement,4856604125
398,MCAmusement,712715534933041152
399,MCAmusement,1004519959672885253
400,MCAmusement,1084902110498619392
401,MCAmusement,45471314
402,MCAmusement,791019970075496449
403,MCAmusement,763227792540569601
404,MCAmusement,22977634
405,MCAmusement,59581972
406,MCAmusement,75432588
407,MCAmusement,45481064
408,MCAmusement,713035266
409,MCAmusement,134921561
410,MCAmusement,1066307813104865280
411,MCAmusement,525684297
412,MCAmusement,1079437871050883079
413,MCAmusement,788816772283633664
414,MCAmusement,2603715144
415,MCAmusement,1076899672218836997
416,MCAmusement,872513622349688832
417,MCAmusement,1036801830666293248
418,MCAmusement,1073984083267649536
419,MCAmusement,937038790517932032
420,MCAmusement,1059472191044116482
421,MCAmusement,4700323526
422,MCAmusement,815391297448112128
423,MCAmusement,778538500480172033
424,MCAmusement,882432279691251712
425,MCAmusement,917866922498195456
