,source,target
0,AmusementNetwork,917866922498195456
1,AmusementNetwork,870398338469961728
2,AmusementNetwork,3394800165
3,AmusementNetwork,807638984323108864
4,AmusementNetwork,904502052260339712
5,AmusementNetwork,1144374127228141568
6,AmusementNetwork,953889766243815424
7,AmusementNetwork,436249595
8,AmusementNetwork,1396764015137857536
9,AmusementNetwork,1394035679022260230
10,AmusementNetwork,986242292678832130
11,AmusementNetwork,1393573865016676357
12,AmusementNetwork,1394101357070544898
13,AmusementNetwork,720432033051340801
14,AmusementNetwork,1367869876908527621
15,AmusementNetwork,1284361789317226496
16,AmusementNetwork,1118992594875355136
17,AmusementNetwork,772969672060919808
18,AmusementNetwork,899273786201165824
19,AmusementNetwork,784937484308275202
20,AmusementNetwork,817477770863378432
21,AmusementNetwork,1384643514894594050
22,AmusementNetwork,2907000291
23,AmusementNetwork,1341303655912366081
24,AmusementNetwork,1332619491650498561
25,AmusementNetwork,1095285171379593216
26,AmusementNetwork,1360351262353498114
27,AmusementNetwork,1374132682662113281
28,AmusementNetwork,833411050850615299
29,AmusementNetwork,156079313
30,AmusementNetwork,1245756444550496256
31,AmusementNetwork,1210192638
32,AmusementNetwork,1371611771140665345
33,AmusementNetwork,1370417892190253060
34,AmusementNetwork,978001951911809024
35,AmusementNetwork,1342928264055173121
36,AmusementNetwork,1260302218877689869
37,AmusementNetwork,590173407
38,AmusementNetwork,1199526918586060805
39,AmusementNetwork,1359904314949394435
40,AmusementNetwork,959401
41,AmusementNetwork,1363911270181797891
42,AmusementNetwork,1358606226930757632
43,AmusementNetwork,1182031673426399232
44,AmusementNetwork,1362344720131895297
45,AmusementNetwork,1361487670896177153
46,AmusementNetwork,1058405312481366022
47,AmusementNetwork,1292138522602684416
48,AmusementNetwork,917933390212448256
49,AmusementNetwork,1309224640678473728
50,AmusementNetwork,1175690795292061698
51,AmusementNetwork,1256126699013500928
52,AmusementNetwork,1353803150105444352
53,AmusementNetwork,1353482001853128710
54,AmusementNetwork,1337774136718974981
55,AmusementNetwork,960517490437705728
56,AmusementNetwork,741809129698660352
57,AmusementNetwork,1304760892463038464
58,AmusementNetwork,233376370
59,AmusementNetwork,966180564263981056
60,AmusementNetwork,1209164718990082050
61,AmusementNetwork,3676574301
62,AmusementNetwork,1322006763189592066
63,AmusementNetwork,1321205130319069184
64,AmusementNetwork,1282308731045400578
65,AmusementNetwork,1325961667562311681
66,AmusementNetwork,1282686213242138631
67,AmusementNetwork,976276578194919431
68,AmusementNetwork,1334452542760046595
69,AmusementNetwork,814610205128491008
70,AmusementNetwork,1289198520751263744
71,AmusementNetwork,4699830855
72,AmusementNetwork,81305054
73,AmusementNetwork,922548354248085504
74,AmusementNetwork,756499136212533248
75,AmusementNetwork,798514197722234881
