,source,target
0,MCParks,1333402135099105280
1,MCParks,1340464437568925702
2,MCParks,713931632777015296
3,MCParks,1368340342681051137
4,MCParks,987926235090227202
5,MCParks,1224640479943385088
6,MCParks,4049908757
7,MCParks,818074763205767168
8,MCParks,885659793821757440
9,MCParks,1329629109706653700
10,MCParks,779762317844033536
11,MCParks,1402260762639450116
12,MCParks,1110263657164881920
13,MCParks,1142626018244661254
14,MCParks,1204911115823648768
15,MCParks,1122183922782224384
16,MCParks,1336144648788557827
17,MCParks,1338261201545998337
18,MCParks,3305019515
19,MCParks,1380695992010412032
20,MCParks,1419291497145323528
21,MCParks,1232473295741542401
22,MCParks,1230687889622781952
23,MCParks,1304208997529120774
24,MCParks,1064867738533994496
25,MCParks,1287503881547788294
26,MCParks,1418301818417909762
27,MCParks,804336856364187649
28,MCParks,90480131
29,MCParks,1417848662487552006
30,MCParks,2730437329
31,MCParks,1011746459589468161
32,MCParks,1051947346467201024
33,MCParks,1418050784558780421
34,MCParks,737638716622143488
35,MCParks,1041111442202648576
36,MCParks,716839826281074688
37,MCParks,1266067261544005632
38,MCParks,1151592983579549696
39,MCParks,1380207310295945220
40,MCParks,1256019137509408769
41,MCParks,849432134267940864
42,MCParks,1417201992682950657
43,MCParks,863884470071558149
44,MCParks,1079939970935242753
45,MCParks,1872888901
46,MCParks,1351559240440156162
47,MCParks,1319612607611826176
48,MCParks,1341403962705113090
49,MCParks,1035737762685759488
50,MCParks,1384296987982401542
51,MCParks,231868873
52,MCParks,1282008959923216385
53,MCParks,1356866427039322114
54,MCParks,1352957011554672641
55,MCParks,1251257150514573312
56,MCParks,1329402304533970947
57,MCParks,744775776386486272
58,MCParks,1141027464329801729
59,MCParks,1305841738624520198
60,MCParks,1284680198202458113
61,MCParks,2929771754
62,MCParks,1102988121887727616
63,MCParks,759474730231590912
64,MCParks,763520143599267840
65,MCParks,9523722
66,MCParks,1225893736997101568
67,MCParks,1398651174069456901
68,MCParks,1176287473229533184
69,MCParks,1322209127347769364
70,MCParks,1129845014127939586
71,MCParks,1302220893255589893
72,MCParks,1368934157980733445
73,MCParks,3024338565
74,MCParks,632890335
75,MCParks,1395921904398110722
76,MCParks,1233619833717084160
77,MCParks,998471371859546112
78,MCParks,910448408
79,MCParks,1356407658367098880
80,MCParks,4684650667
81,MCParks,778595409312772097
