,source,target
0,NostalgiaParks,917866922498195456
1,NostalgiaParks,1418301818417909762
2,NostalgiaParks,1162439351722135552
3,NostalgiaParks,959401
4,NostalgiaParks,1246201678627581952
5,NostalgiaParks,797611995247874048
6,NostalgiaParks,1144374127228141568
7,NostalgiaParks,2652884833
8,NostalgiaParks,1412626829379137538
9,NostalgiaParks,1406666673160085508
10,NostalgiaParks,2825990187
11,NostalgiaParks,2460275089
12,NostalgiaParks,1269853550869221378
13,NostalgiaParks,1403064644474863619
14,NostalgiaParks,1384643514894594050
15,NostalgiaParks,29934439
16,NostalgiaParks,1357005152734052353
17,NostalgiaParks,761979406617239552
18,NostalgiaParks,1119202790952329216
19,NostalgiaParks,1397443350865879052
20,NostalgiaParks,1396764015137857536
21,NostalgiaParks,3068811280
22,NostalgiaParks,1260705517703331840
23,NostalgiaParks,64493478
24,NostalgiaParks,2835619964
25,NostalgiaParks,1313590559903305730
26,NostalgiaParks,1332619491650498561
27,NostalgiaParks,1360351262353498114
28,NostalgiaParks,1370417892190253060
29,NostalgiaParks,1210192638
30,NostalgiaParks,1320123300006170625
31,NostalgiaParks,978001951911809024
32,NostalgiaParks,1314650046193778688
33,NostalgiaParks,2419436606
34,NostalgiaParks,1245756444550496256
35,NostalgiaParks,590173407
36,NostalgiaParks,1329335473546932226
37,NostalgiaParks,1334260049280163846
38,NostalgiaParks,1363911270181797891
39,NostalgiaParks,1304905990211428354
40,NostalgiaParks,1357909885564973057
41,NostalgiaParks,1361487670896177153
42,NostalgiaParks,1359984720382197763
43,NostalgiaParks,1359290818641723394
44,NostalgiaParks,705578684195999744
45,NostalgiaParks,1121828014860451840
46,NostalgiaParks,2297061
47,NostalgiaParks,1357411373437837317
48,NostalgiaParks,2831192208
49,NostalgiaParks,1077760908364054529
50,NostalgiaParks,1260371679815110658
51,NostalgiaParks,1020033355310542848
52,NostalgiaParks,1315662587556753410
53,NostalgiaParks,1337774136718974981
54,NostalgiaParks,1086373647625920512
55,NostalgiaParks,1246651858141057024
56,NostalgiaParks,751163893230206976
57,NostalgiaParks,1334452542760046595
58,NostalgiaParks,1289198520751263744
59,NostalgiaParks,769623463
60,NostalgiaParks,876472741964259329
61,NostalgiaParks,798514197722234881
62,NostalgiaParks,1328782844278300674
